id,name,token_count
156,Berry Yoghurt Surprise,336
157,Bi Feng Tang,178
158,Bianco Mangiare with Chocolate Orange Zest,269
159,Boiled Banana with Grated Coconut,281
160,,298
161,Braised Brown Rice Spaghetti With Sliced Beef,262
162,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,310
163,Braised Mee Sua With Shredded Chicken,260
164,Braised Soya Bean Cake & Tofu,290
165,Brown Chicken Rice,363
166,Brown Rice Chicken Congee,280
167,Creamy Mushroom Sauce,304
168,Bruschetta Magherita,198
169,Brussel Sprout Ingots With Minced Chicken Patties,393
170,Buckwheat Pancake Drenched In Orange And Berry Sauce,343
171,Bukit Coco,113
172,,291
173,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,405
174,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,608
175,Chicken Herb Roll with Pumpkin Puree,294
176,Chicken Oat Balls with Macaroni Soup,318
177,Chicken with Stewed Tomatoes,292
178,Chicken Yakiudon,325
179,Chilled Papaya Smoothie,208
180,Chilli Chicken Pasta,320
181,Chinese-Style Carrot Cake with Chinese Sausage,375
182,Chrys Cooler,102
183,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,357
184,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,311
185,Cottage Cheese in Green Chutney Marinade,396
186,Crab Meat Foo Yong,302
187,Crabmeat Fried Rice,314
188,Cracked Wheat Khichdi,304
189,,272
190,Curry Chicken,274
191,Daylily Flowers In Tanghoon Soup,299
192,,520
193,Easy Egg Cups,341
194,Eggplant Parmigiana With Tomato Coulis,297
195,Eight Treasure Pilaf,461
196,Fine Basmati Rice with Peas,324
197,Fish & Potato Pie,475
198,Fish Nuggets With Sweet And Sour Dip,279
199,French Bean And Yoghurt Antipasti,227
200,French Beans with Walnuts,230
201,Fried Kway-Teow in Creamy Foo Yong Sauce,371
202,Fried Olive Rice,276
203,Fruit Chutney Oatmeal Pancakes,409
204,Fruity Cola Punch,89
205,Fruity Seafood Fried Rice,292
206,,277
207,Ginger-infused Chawanmushi,198
208,GOBI PARATHA,358
209,Gochujang Drumlets,282
210,,252
211,Grilled Chicken with Mushroom Salsa,257
212,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,304
213,Grilled Red Mullet Fish with Colo Colo Dip,247
214,Grilled Rosemary Lemon Chicken,324
215,Grilled Teriyaki Chicken,279
216,Haloe Vera,78
217,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,354
218,Hokchew Steamed Fish Fillet in Fermented Bean Sauce,361
219,HOKKAIDO TOFU ISLAND,235
220,Homemade Pork Meatballs with Carrot Cream Sauce,325
221,Indian Stir Fried Chicken and Spring Onion,338
222,Indonesia Croque,290
223,Indonesian Fried Noodles,304
224,Italian Style Chicken Porridge,215
225,Jamaican Jerk Chicken,270
226,Japanese Curry with Sweet Potatoes,227
227,Javanese Mashed Yam and Sweet Potatoes,310
228,Kashmiri Pulao,359
229,Kidney Bean Minestra,272
230,Ladies Finger Stir-fried in Onion Masala,314
231,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,421
232,Low-Fat Waldorf Salad,288
233,Mais De Pepe Pork Loin,237
234,Mango Tofu Pudding,192
235,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,424
236,Mashed Potato and Winter Vegetables,232
237,Mee Goreng,316
238,Mee Siam,459
239,,317
240,Milo,197
241,,335
242,Minestrone Pasta Soup,367
243,Mini Speedy Pizzas,209
244,Miso Sliced Fish Soup,242
245,Serve and enjoy,267
246,Mocha Mousse with Strawberry Coulis,311
247,,369
248,,328
249,Mutton Curry,346
250,Namkeen Semiya,326
251,Nasi Kuning,306
252,,284
253,Nonya Curry-Infused Patties,348
254,Nonya Tomato Fish,277
255,Open-Faced Miso Fish Sandwich,239
256,Orange Carrot Cake,312
257,Oyster Sesame Vegetable Rolls,340
258,,329
259,Pasta Alla Puttanesca,316
260,,445
261,Dried Prune Salad,253
262,Pearl Barley Risotto,225
263,Penne Pasta with Basil Pesto,238
264,Pineapple Tarts,763
265,Poached Chicken Sandwich with Mango Mayonnaise,244
266,Pom Pom Parade,151
267,Prosperity Noodles,311
268,Puree of Yam with Gingko Nuts,347
269,,369
270,Red Rice & Silken Tofu Timbale with Green Pea Puree,383
271,Red Snapper in Tomato Herb Stock,282
272,the sauce on top,200
273,Rice Vermicelli with Mackerel,242
274,Roasted Cashew and Orange Salad with Cider Vinaigrette,242
275,Roasted Corn Dip,293
276,Roasted Pork Loin with Honey and Mustard Sauce,240
277,Roasted Vegetables Toast,370
278,,193
279,Salmon Fillet with Honey Spice Sauce,334
280,Samosa with Mixed Vegetables,450
281,Sardine Fried Rice,221
282,Savoury Soup with Glutinous Rice Balls,311
283,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,293
284,Seared Cod with Orange Dressing,269
285,Shroom Sliders,353
286,Silky and Spicy Tanghoon Delight,337
287,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,451
288,Sliced Fish Bee Hoon Soup,251
289,Sliced Fresh Fish Soup with Vegetable,224
290,Snow White Coconut Cocktail Served in Coconut Cups,356
291,,635
292,Soy Sauce Garlic Prawns,274
293,Spaghetti Aglio Olio Picante Con Il Broccoli,247
294,Spiced Stuffed Capsicums,429
295,Spicy Coriander Chicken,396
296,Spinach and Cheese Quiche,380
297,Steamed Cabbage Roll with Peanut Sauce,442
298,Steamed Cassava with Milk and Honey,216
299,Steamed Dumplings,183
300,Caramelised Shallots,363
301,Steamed Pear with Dried Lily Bulbs and Dried Longan,337
302,this recipe,170
303,Stir-Fried Shimeiji Mushrooms and Sugar Peas with Abalone Sauce,255
304,Stir-Fried Vegetable and Fruits in Honeydew Bowl,374
305,Stir-fried Vegetable Medley,441
306,Stir-fried Vegetables with Braised Firm Beancurd,350
307,Stuffed Tomato with Garlic Sauce,231
308,Sweet Corn Chicken Patties,189
309,Lower in Sodium H E A L T H I E R C H O I C E H e a l t h P r o m o t i o n B o a r d,308
310,Tangy Tomato Chilli Prawns,340
311,Teriyaki Chicken Sandwich,201
312,Teriyaki Salmon and Pasta,380
313,Traditional Teochew Steamed Fish,390
314,Tuna and Potato Bake,197
315,Tuna and Potato Patties Makes,241
316,Vanilla Custard,244
317,Vegetable Makhni,400
318,Vegetable Pancake with Cheese,177
319,Vegetable Stacks,309
320,Vegetarian Chinese Chicken Salad,215
321,Vegetarian Fried Brown Rice Vermicelli,336
322,Vegetarian Wrap,200
323,and selenium,312
324,Water Chestnut and Sweet Corn Dessert,234
325,Tip,235
326,Wholemeal Bread Pudding with Raisins,99
327,Wok-Fried Asparagus with Honshimeiji Mushrooms,293
328,Wok-fried Broccoli with Assorted Mushrooms,187
329,Yu Sheng,358
